Code,Governance Units,Provinces,Districts,Name of Government Unit,Total population,Total expected live birth,Population under 1 year,Population 12 - 23 months,Nutrition (0-23 Month),Nutrition (6-23 months),Population under 5 years ARI/ CDD/ Nutrition,Population aged 6-59 months,Nutrition (12-59 Month),Adolescent population aged 10-19 years,Female population aged 15-49 years,Married Female population aged 15-49 years,Total expected pregnancies
31004,Municipality ,Province 3,Ramechhap,Ramechhap Municipality,30394,704,682,698,1380,1039,3276,2935,2594,6146,8883,6733,830
31005,Municipality ,Province 3,Ramechhap,Manthali Municipality,46955,1089,1053,963,2016,1488,4691,4163,3638,9984,14524,11009,1284
31006,Rural Municipality,Province 3,Ramechhap,Khandadevi Rural Municipality,26274,609,589,503,1092,798,2562,2268,1973,5566,7885,5977,718
31007,Rural Municipality,Province 3,Ramechhap,Doramba Rural Municipality,23060,534,517,462,979,721,2323,2065,1806,5047,6937,5258,630
31008,Rural Municipality,Province 3,Ramechhap,Sunapati Rural Municipality,18423,427,413,287,700,494,1566,1360,1153,3952,5506,4174,504
31101,Municipality ,Province 3,Sindhuli,Dudhouli Municipality,68340,1536,1487,1476,2963,2220,7023,6280,5536,14455,20511,15547,1811
31102,Rural Municipality,Province 3,Sindhuli,Phikkal Rural Municipality,17450,392,380,472,852,662,2129,1939,1749,3645,4762,3610,462
31103,Rural Municipality,Province 3,Sindhuli,Tinpatan Rural Municipality,37696,847,820,766,1586,1176,3754,3344,2934,8337,11017,8351,999
31104,Rural Municipality,Province 3,Sindhuli,Golanjor Rural Municipality,20291,456,441,448,889,669,2127,1907,1686,4122,5462,4140,538
31105,Municipality ,Province 3,Sindhuli,Kamalamai Municipality,70077,1576,1524,1136,2660,1896,5863,5099,4339,14504,21225,16088,1859
31106,Rural Municipality,Province 3,Sindhuli,Sunkoshi Rural Municipality,23016,517,501,345,846,596,1838,1588,1337,4814,6665,5052,610
31107,Rural Municipality,Province 3,Sindhuli,Ghyanglekha Rural Municipality,14021,315,305,358,663,511,1666,1514,1361,3088,3976,3014,371
31108,Rural Municipality,Province 3,Sindhuli,Marin Rural Municipality,28463,640,619,751,1370,1061,3504,3195,2885,6195,8189,6207,755
31109,Rural Municipality,Province 3,Sindhuli,Hariharpurgaghi Rural Municipality,28140,633,612,779,1391,1085,3640,3334,3028,6170,7869,5965,746
31201,Rural Municipality,Province 3,Makwanpur,Indrasarowar Rural Municipality,14962,328,317,286,603,445,1381,1223,1064,3204,4297,3257,387
31202,Municipality ,Province 3,Makwanpur,Thaha Municipality,45185,990,958,870,1828,1349,4347,3868,3389,9514,12791,9696,1167
