"","Code","fid","Governance.Units","Provinces","Districts","Name.of.Government.Unit","Hospital","Primary.Health.Care.Centers","Health.Post","Urban.Health.Centers","Community.Health.Unit","Other.Health.Facilities","Total","Non.public.health.facilities","Total.health.facilities..Public.and.Non.Public.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"104",10305,105,"Rural Municipality","Koshi Province","Solukhumbu","Thulung Dudhkoshi Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"105",10304,106,"Rural Municipality","Koshi Province","Solukhumbu","Dhudhakoshi Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"106",10301,107,"Rural Municipality","Koshi Province","Solukhumbu","Khumbu Pasanglhamu Rural Municipality",0,0,4,0,0,0,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"107",10308,108,"Rural Municipality","Koshi Province","Solukhumbu","Likhu Pike Rural Municipality",0,0,3,0,1,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"108",10302,109,"Rural Municipality","Koshi Province","Solukhumbu","Mahakulung Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"109",10306,110,"Rural Municipality","Koshi Province","Solukhumbu","Necha Salyan Rural Municipality",0,1,3,0,0,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"110",10307,111,"Municipality ","Koshi Province","Solukhumbu","Solu Dhudhakunda Municipality",1,0,9,0,0,1,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"111",10303,112,"Rural Municipality","Koshi Province","Solukhumbu","Sotang Rural Municipality",0,1,1,0,1,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"112",10406,113,"Rural Municipality","Koshi Province","Okhaldhunga","Champadevi Rural Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"113",10401,114,"Rural Municipality","Koshi Province","Okhaldhunga","Chishankhu Gadhi Rural Municipality",0,0,7,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"114",10404,115,"Rural Municipality","Koshi Province","Okhaldhunga","Khiji Demba Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"115",10405,116,"Rural Municipality","Koshi Province","Okhaldhunga","Likhu Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"116",10408,117,"Rural Municipality","Koshi Province","Okhaldhunga","Manebhanjyang Rural Municipality",0,0,8,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"117",10403,118,"Rural Municipality","Koshi Province","Okhaldhunga","Molung Rural Municipality",0,0,7,0,0,0,7,1,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"118",10402,119,"Municipality ","Koshi Province","Okhaldhunga","Siddhicharan Municipality",1,0,10,0,0,0,11,2,13,NA,NA,NA,NA,NA,NA,NA,NA,""
"119",10407,120,"Rural Municipality","Koshi Province","Okhaldhunga","Sunkoshi Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"120",10502,121,"Rural Municipality","Koshi Province","Khotang","Aiselukharka Rural Municipality",0,1,6,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"121",10510,122,"Rural Municipality","Koshi Province","Khotang","Baraha Pokhari Rural Municipality",0,0,6,0,2,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"122",10507,123,"Rural Municipality","Koshi Province","Khotang","Diprung Rural Municipality",0,0,7,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"123",10504,124,"Municipality ","Koshi Province","Khotang","Halesi Tuwachung Municipality",0,0,11,1,1,0,13,0,13,NA,NA,NA,NA,NA,NA,NA,NA,""
"124",10509,125,"Rural Municipality","Koshi Province","Khotang","Jante Dhunga Rural Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
